Name,Facility ID (CCN),Parent System/Company,PE Firm,Currently PE?,State,Address,City,Zip,County,Date last acquired by PE,Previous Owner Type,Hospital Ownership,Type,Region,Payment Designation,Hospital Overall Rating,Rural?,RUCA,FORHP Rural/Urban,CSBA Rural/Urban,FIPS,Sale-leaseback,HCRIS Acute,HCRIS Beds,POS Certified Beds,POS Total Beds,PSF Beds,Emergency Services,Phone
LORETTO HOSPITAL,140083,,,N,IL,645 SOUTH CENTRAL AVE,CHICAGO,60644,COOK,,,Voluntary non-profit - Other,Acute Care Hospitals,Midwest ,PPS,Not Available,,1,Urban,Metro,17031,,122,,176,176,119,Yes,(773) 626-4300
LORING HOSPITAL,161370,,,N,IA,211 HIGHLAND AVENUE PO BOX 217,SAC CITY,50583,SAC,,,Voluntary non-profit - Private,Critical Access Hospitals,Midwest ,CAH,Not Available,1,10,Rural,Neither,19161,,25,,25,25,,No,(712) 662-7105
LOS ALAMITOS MEDICAL CENTER,050551,Tenet Healthcare,,N,CA,3751 KATELLA AVENUE,LOS ALAMITOS,90720,ORANGE,,,Proprietary,Acute Care Hospitals,West ,PPS,1,,1,Urban,Metro,6059,,172,,146,146,136,Yes,(562) 799-3220
LOS ANGELES COMMUNITY HOSPITAL,050663,Prospect Medical Holdings,formerly Leonard Green & Partners,N,CA,4081 E OLYMPIC BLVD,LOS ANGELES,90023,LOS ANGELES,,,Proprietary,Acute Care Hospitals,West ,PPS,4,,1,Urban,Metro,6037,MPT,285,,150,180,284,Yes,(323) 267-0477
LOS ROBLES HOSPITAL & MEDICAL CENTER,050549,HCA Healthcare,,N,CA,215 W JANSS RD,THOUSAND OAKS,91360,VENTURA,,,Proprietary,Acute Care Hospitals,West ,PPS,3,,1,Urban,Metro,6111,,301,,231,273,269,No,(805) 497-2727
LOST RIVERS MEDICAL CENTER,131324,,,N,ID,551 HIGHLAND DRIVE,ARCO,83213,BUTTE,,,Government - Hospital District or Authority,Critical Access Hospitals,West ,CAH,Not Available,1,10,Rural,Metro,16023,,14,,14,14,,Yes,(208) 252-7654
LOUIS A WEISS MEMORIAL HOSPITAL,140082,Resilience Healthcare,,N,IL,4646 N MARINE DRIVE,CHICAGO,60640,COOK,,,Proprietary,Acute Care Hospitals,Midwest ,RRC,2,1,1,Urban,Metro,17031,,119,,236,236,113,Yes,(773) 878-8700
LOUISIANA EXTENDED CARE HOSPITAL OF LAFAYETTE,192032,LHC Group,,N,LA,"2810 AMBASSADOR CAFFERY PARKWAY, 6TH FLOOR",LAFAYETTE,70506,,,,,LTACH,South ,,,,1,Urban,Metro,22055,,,70,66,84,,,(337) 289-8180
LOUISIANA EXTENDED CARE HOSPITAL OF NATCHITOCHES,192035,LHC Group,,N,LA,501 KEYSER AVE 4TH FLOOR,NATCHITOCHES,71457,,,,,LTACH,South ,,,1,4,Rural,Micro,22069,,,21,21,21,,,(318) 354-2044
LOUISIANA EXTENDED CARE HOSPITAL OF WEST MONROE,192055,LHC Group,,N,LA,"503 MCMILLIAN ROAD, 3RD FLOOR",WEST MONROE,71291,,,,,LTACH,South ,,,,1,Urban,Metro,22073,,,21,21,21,,,(318) 329-4300
LOURDES HOSPITAL,180102,,,N,KY,1530 LONE OAK ROAD,PADUCAH,42003,MC CRACKEN,,,Voluntary non-profit - Church,Acute Care Hospitals,South ,RRC,3,1,4,Rural,Micro,21145,,265,,359,359,255,Yes,(270) 444-2444
LOWELL GENERAL HOSPITAL,220063,,,N,MA,295 VARNUM AVENUE,LOWELL,1854,MIDDLESEX,,,Voluntary non-profit - Private,Acute Care Hospitals,Northeast ,PPS,2,,1,Urban,Metro,25017,,407,,158,158,377,Yes,(978) 937-6000
LOWER BUCKS HOSPITAL,390070,Prime Healthcare,,N,PA,501 BATH ROAD,BRISTOL,19007,BUCKS,,,Proprietary,Acute Care Hospitals,Northeast ,PPS,2,,1,Urban,Metro,42017,,130,,139,186,130,Yes,(215) 785-9200
LOWER KEYS MEDICAL CENTER,100150,Community Health Systems,,N,FL,5900 COLLEGE ROAD,KEY WEST,33040,MONROE,,,Proprietary,Acute Care Hospitals,South ,SCH/RRC,4,1,4,Rural,Micro,12087,,99,,167,167,94,Yes,(305) 294-5531
LOWER UMPQUA HOSPITAL DISTRICT,381311,,,N,OR,600 RANCH ROAD,REEDSPORT,97467,DOUGLAS,,,Government - Hospital District or Authority,Critical Access Hospitals,West ,CAH,Not Available,1,7,Rural,Micro,41019,,16,,24,24,,Yes,(541) 271-2171
LOYOLA GOTTLIEB MEMORIAL HOSPITAL,140008,,,N,IL,701 WEST NORTH AVE,MELROSE PARK,60160,COOK,,,Voluntary non-profit - Private,Acute Care Hospitals,Midwest ,RRC,4,1,1,Urban,Metro,17031,,135,,274,274,115,Yes,(708) 681-3200
LOYOLA UNIVERSITY MEDICAL CENTER,140276,,,N,IL,2160 S 1ST AVENUE,MAYWOOD,60153,COOK,,,Voluntary non-profit - Private,Acute Care Hospitals,Midwest ,RRC,2,1,1,Urban,Metro,17031,,516,,507,507,498,Yes,(708) 216-9000
LUCAS COUNTY HEALTH CENTER,161341,,,N,IA,1200 NORTH 7TH STREET,CHARITON,50049,LUCAS,,,Voluntary non-profit - Other,Critical Access Hospitals,Midwest ,CAH,Not Available,1,7,Rural,Neither,19117,,25,,25,25,,Yes,(641) 774-3000
LUCILE SALTER PACKARD CHILDREN'S HSP AT STANFORD,053305,,,N,CA,725 WELCH ROAD,PALO ALTO,94304,SANTA CLARA,,,Voluntary non-profit - Private,Childrens,West ,,Not Available,,1,Urban,Metro,6085,,,397,396,396,,No,(650) 497-8000
"LUMINIS HEALTH ANNE ARUNDEL MEDICAL CENTER, INC",210023,,,N,MD,2001 MEDICAL PARKWAY,ANNAPOLIS,21401,ANNE ARUNDEL,,,Voluntary non-profit - Private,Acute Care Hospitals,South ,PPS,4,,1,Urban,Metro,24003,,379,,370,370,402,Yes,(443) 481-1000
"LUMINIS HEALTH DOCTORS COMMUNITY MEDICAL CTR, INC",210051,,,N,MD,8118 GOOD LUCK ROAD,LANHAM,20706,PRINCE GEORGES,,,Proprietary,Acute Care Hospitals,South ,PPS,2,,1,Urban,Metro,24033,,206,,182,182,190,Yes,(301) 552-8118
LUMINIS HEALTH J KENT MCNEW FAMILY MEDICAL CENTER,214020,,,N,MD,175 HARRY S  TRUMAN  PARKWAY,ANNAPOLIS,21401,ANNE ARUNDEL,,,Voluntary non-profit - Private,Psychiatric,South ,,Not Available,,1,Urban,Metro,24003,,,,16,16,,Yes,(443) 481-1000
LUTHERAN DOWNTOWN HOSPITAL,150047,Lutheran Health Network,,N,IN,702 VAN BUREN STREET,FORT WAYNE,46802,ALLEN,,,Proprietary,Acute Care Hospitals,Midwest ,PPS,2,,1,Urban,Metro,18003,,61,,170,191,84,Yes,(260) 425-3000
LUTHERAN HOSPITAL,360087,,,N,OH,1730 WEST 25TH STREET,CLEVELAND,44113,CUYAHOGA,,,Voluntary non-profit - Private,Acute Care Hospitals,Midwest ,PPS,5,,1,Urban,Metro,39035,,119,,203,203,110,Yes,(216) 696-4300
LUTHERAN HOSPITAL OF INDIANA,150017,Lutheran Health Network,,N,IN,7910 W JEFFERSON BLVD,FORT WAYNE,46804,ALLEN,,,Proprietary,Acute Care Hospitals,Midwest ,PPS,2,,1,Urban,Metro,18003,,387,,396,396,374,Yes,(260) 435-7001
LUTHERAN MEDICAL CENTER,060009,,,N,CO,8300 W 38TH AVE,WHEAT RIDGE,80033,JEFFERSON,,,Voluntary non-profit - Private,Acute Care Hospitals,West ,PPS,4,,1,Urban,Metro,8059,,160,,364,364,187,Yes,(303) 425-4500
LVH- COORDINATED ALLENTOWN,390321,Lehigh Valley Health Network,,N,PA,1503 CEDAR CREST BOULEVARD,ALLENTOWN,18104,LEHIGH,,,Proprietary,Acute Care Hospitals,Northeast ,PPS,Not Available,,1,Urban,Metro,42077,,20,,20,20,20,No,(610) 871-9110
LVH- COORDINATED BETHLEHEM,390314,,,N,PA,2310 HIGHLAND AVENUE,BETHLEHEM,18017,NORTHAMPTON,,,Voluntary non-profit - Private,Acute Care Hospitals,Northeast ,PPS,Not Available,,1,Urban,Metro,42095,,20,,20,20,19,No,(610) 691-4300
LYNN COUNTY HOSPITAL DISTRICT,451351,,,N,TX,2600 LOCKWOOD STREET,TAHOKA,79373,LYNN,,,Government - Hospital District or Authority,Critical Access Hospitals,South ,CAH,Not Available,1,2,Rural,Metro,48305,,24,,24,24,,Yes,(806) 998-4533
LYNN HOUSE OF POTOMAC VALLEY,491991,,,N,VA,4400 WEST BRADDOCK ROAD,ALEXANDRIA,22304,,,,,Religious non-med,South ,,,,1,Urban,Metro,51510,,,1,16,16,,,(703) 379-6000
MACKINAC STRAITS HOSPITAL AND HEALTH CENTER,231306,,,N,MI,1140 N STATE STREET,SAINT IGNACE,49781,MACKINAC,,,Voluntary non-profit - Private,Critical Access Hospitals,Midwest ,CAH,Not Available,1,7,Rural,Neither,26097,,15,,15,15,,Yes,(906) 643-8585
MACNEAL  HOSPITAL,140054,Loyola Medicine (Trinity Health),,N,IL,3249 SOUTH OAK PARK AVENUE,BERWYN,60402,COOK,,,Proprietary,Acute Care Hospitals,Midwest ,RRC,2,1,1,Urban,Metro,17031,,266,,427,427,242,Yes,(708) 783-9100
MACON COMMUNITY HOSPITAL,441305,,,N,TN,204 MEDICAL DRIVE,LAFAYETTE,37083,MACON,,,Voluntary non-profit - Private,Critical Access Hospitals,South ,CAH,5,1,7,Rural,Metro,47111,,25,,25,25,,Yes,(615) 666-2147
MACON COUNTY SAMARITAN MEMORIAL HOSPITAL,261313,,,N,MO,1205 NORTH MISSOURI ST,MACON,63552,MACON,,,Government - Local,Critical Access Hospitals,Midwest ,CAH,Not Available,1,7,Rural,Neither,29121,,25,,25,25,,Yes,(660) 385-8700
MAD RIVER COMMUNITY HOSPITAL,050028,American Hospital Management Corporation,,N,CA,3800 JANES RD,ARCATA,95521,HUMBOLDT,,,Proprietary,Acute Care Hospitals,West ,PPS,3,1,4,Rural,Micro,6023,,49,,80,80,48,Yes,(707) 822-3621
MADELIA COMMUNITY HOSPITAL,241323,,,N,MN,121 DREW AVENUE SOUTHEAST,MADELIA,56062,WATONWAN,,,Voluntary non-profit - Other,Critical Access Hospitals,Midwest ,CAH,Not Available,1,10,Rural,Neither,27165,,25,,25,25,,Yes,(507) 642-3255
MADERA COMMUNITY HOSPITAL,050568,,,N,CA,1250 E ALMOND AVE,MADERA,93637,MADERA,,,Voluntary non-profit - Other,Acute Care Hospitals,West ,RRC,2,1,1,Urban,Metro,6039,,106,,106,106,113,No,(559) 675-5555
Madigan AMC (FT Lewis),50005F,,,N,WA,9040 Jackson Avenue,Tacoma,98431,PIERCE,,,Department of Defense,Acute Care - Department of Defense,West ,,Not Available,,,,,,,,,,,,Yes,
MADISON COUNTY HEALTH CARE SYSTEM,161326,,,N,IA,300 WEST HUTCHINGS STREET,WINTERSET,50273,MADISON,,,Government - Local,Critical Access Hospitals,Midwest ,CAH,Not Available,1,2,Rural,Metro,19121,,25,,25,25,,Yes,(515) 462-2373
MADISON COUNTY MEMORIAL HOSPITAL,101311,,,N,FL,224 NW CRANE AVE,MADISON,32340,MADISON,,,Government - Hospital District or Authority,Critical Access Hospitals,South ,CAH,Not Available,1,2,Rural,Neither,12079,,1,,25,25,,Yes,(850) 973-2271
MADISON HEALTH,360189,,,N,OH,210 NORTH MAIN STREET,LONDON,43140,MADISON,,,Voluntary non-profit - Private,Acute Care Hospitals,Midwest ,PPS,4,1,4,Rural,Metro,39097,,45,,107,107,43,Yes,(740) 845-7000
MADISON HOSPITAL,241372,,,N,MN,820 THIRD AVENUE,MADISON,56256,LAC QUI PARLE,,,Voluntary non-profit - Private,Critical Access Hospitals,Midwest ,CAH,Not Available,1,10,Rural,Neither,27073,,18,,12,12,,Yes,(320) 598-7536
MADISON MEDICAL CENTER,261302,,,N,MO,611 W MAIN ST,FREDERICKTOWN,63645,MADISON,,,Voluntary non-profit - Other,Critical Access Hospitals,Midwest ,CAH,Not Available,1,7,Rural,Neither,29123,,25,,25,25,,Yes,(573) 781-3341
MADISON MEMORIAL HOSPITAL,130025,,,N,ID,450 EAST MAIN STREET,REXBURG,83440,MADISON,,,Government - Local,Acute Care Hospitals,West ,PPS,4,1,4,Rural,Micro,16065,,65,,69,69,65,Yes,(208) 359-6900
MADISON PARISH HOSPITAL,191314,,,N,LA,900 JOHNSON STREET,TALLULAH,71282,MADISON,,,Government - Hospital District or Authority,Critical Access Hospitals,South ,CAH,Not Available,1,7,Rural,Neither,22065,,25,,16,16,,Yes,(318) 574-2374
MADISON REGIONAL HEALTH SYSTEM,431300,,,N,SD,323 SW 10TH ST,MADISON,57042,LAKE,,,Voluntary non-profit - Private,Critical Access Hospitals,Midwest ,CAH,Not Available,1,7,Rural,Neither,46079,,22,,25,25,,Yes,(605) 256-6551
MADISON ST JOSEPH HEALTH CENTER,451316,,,N,TX,100 WEST CROSS STREET,MADISONVILLE,77864,MADISON,,,Voluntary non-profit - Church,Critical Access Hospitals,South ,CAH,Not Available,1,7,Rural,Neither,48313,,15,,25,25,,Yes,(936) 348-2631
MADISON STATE HOSPITAL,154019,,,N,IN,711 GREEN RD,MADISON,47250,JEFFERSON,,,Government - State,Psychiatric,Midwest ,,Not Available,1,4,Rural,Micro,18077,,,150,150,332,,Yes,(812) 265-2611
MADISON VALLEY MEDICAL CENTER,271329,,,N,MT,305 N MAIN,ENNIS,59729,MADISON,,,Government - Hospital District or Authority,Critical Access Hospitals,West ,CAH,Not Available,1,10,Rural,Neither,30057,,10,,16,16,,Yes,(406) 682-4222
MADONNA REHABILITATION HOSPITAL LINCOLN,283025,Madonna Rehabilitation Hospitals,,N,NE,5401 SOUTH ST,LINCOLN,68506,,,,,Rehabilitation hospital,Midwest ,,,,1,Urban,Metro,31109,,,67,96,96,,,(402) 413-3000
MADONNA REHABILITATION HOSPITAL OMAHA,283026,Madonna Rehabilitation Hospitals,,N,NE,17500 BURKE STREET,OMAHA,68118,,,,,Rehabilitation hospital,Midwest ,,,,1,Urban,Metro,31055,,,62,46,46,,,(402) 401-3000
MADONNA REHABILITATION SPECIALTY HOSPITAL LINCOLN,282000,Madonna Rehabilitation Hospitals,,N,NE,5401 SOUTH ST,LINCOLN,68506,,,,,LTACH,Midwest ,,,,1,Urban,Metro,31109,,,86,96,96,,,(402) 413-3000
MADONNA REHABILITATION SPECIALTY HOSPITAL OMAHA,282003,Madonna Rehabilitation Hospitals,,N,NE,17500 BURKE STREET,OMAHA,68118,,,,,LTACH,Midwest ,,,,1,Urban,Metro,31055,,,48,32,32,,,(402) 413-3000
MAGEE GENERAL HOSPITAL,250124,,,N,MS,300 3RD AVE SE,MAGEE,39111,SIMPSON,,,Government - Local,Acute Care Hospitals,South ,PPS,1,1,2,Rural,Metro,28127,,44,,64,64,36,Yes,(601) 849-5070
MAGEE REHABILITATION HOSPITAL,393038,Jefferson Health,,N,PA,SIX FRANKLIN PLAZA,PHILADELPHIA,19102,,,,,Rehabilitation hospital,Northeast ,,,,1,Urban,Metro,42101,,,83,96,96,,,(215) 587-3034
MAGEE WOMENS HOSPITAL OF UPMC HEALTH SYSTEM,390114,,,N,PA,300 HALKET STREET,PITTSBURGH,15213,ALLEGHENY,,,Voluntary non-profit - Other,Acute Care Hospitals,Northeast ,PPS,4,,1,Urban,Metro,42003,,315,,335,363,315,Yes,(412) 641-4010
MAGNOLIA REGIONAL HEALTH CENTER,250009,,,N,MS,611 ALCORN DRIVE,CORINTH,38834,ALCORN,,,Voluntary non-profit - Other,Acute Care Hospitals,South ,RRC,2,1,4,Rural,Micro,28003,,158,,144,164,152,Yes,(662) 293-1000
MAGNOLIA REGIONAL MEDICAL CENTER,040067,,,N,AR,101 HOSPITAL DRIVE,MAGNOLIA,71753,COLUMBIA,,,Government - Local,Acute Care Hospitals,South ,SCH,2,1,4,Rural,Micro,5027,,29,,70,70,34,Yes,(870) 235-3000
MAGRUDER HOSPITAL,361314,,,N,OH,615 FULTON ST,PORT CLINTON,43452,OTTAWA,,,Voluntary non-profit - Private,Critical Access Hospitals,Midwest ,CAH,5,1,4,Rural,Metro,39123,,25,,15,15,,Yes,(419) 734-3131
MAHASKA  HEALTH PARTNERSHIP,161379,,,N,IA,1229 C AVENUE EAST,OSKALOOSA,52577,MAHASKA,,,Government - Local,Critical Access Hospitals,Midwest ,CAH,4,1,4,Rural,Micro,19123,,25,,25,25,,Yes,(641) 672-3100
MAHNOMEN HEALTH CENTER,241300,,,N,MN,414 W JEFFERSON PO BOX 396,MAHNOMEN,56557,MAHNOMEN,,,Government - Local,Critical Access Hospitals,Midwest ,CAH,Not Available,1,10,Rural,Neither,27087,,10,,15,18,,Yes,(218) 935-2511
MAIMONIDES MEDICAL CENTER,330194,,,N,NY,4802 TENTH AVENUE,BROOKLYN,11219,KINGS,,,Voluntary non-profit - Private,Acute Care Hospitals,Northeast ,RRC,2,1,1,Urban,Metro,36047,,641,,711,711,584,Yes,(718) 283-6000
MAIN LINE HOSPITAL BRYN MAWR CAMPUS,390139,,,N,PA,130 SOUTH BRYN MAWR AVE,BRYN MAWR,19010,MONTGOMERY,,,Voluntary non-profit - Private,Acute Care Hospitals,Northeast ,RRC,5,1,1,Urban,Metro,42091,,248,,222,320,253,Yes,(610) 526-3000
MAIN LINE HOSPITAL LANKENAU,390195,,,N,PA,100 LANCASTER AVE,WYNNEWOOD,19096,MONTGOMERY,,,Voluntary non-profit - Private,Acute Care Hospitals,Northeast ,RRC,5,1,1,Urban,Metro,42091,,370,,241,331,365,Yes,(610) 645-2000
MAINE MEDICAL CENTER,200009,,,N,ME,22 BRAMHALL ST,PORTLAND,4102,CUMBERLAND,,,Voluntary non-profit - Private,Acute Care Hospitals,Northeast ,PPS,4,,1,Urban,Metro,23005,,575,,606,606,541,Yes,(207) 662-0111
MAINEGENERAL MEDICAL CENTER,200039,,,N,ME,35 MEDICAL CENTER PARKWAY,AUGUSTA,4330,KENNEBEC,,,Voluntary non-profit - Other,Acute Care Hospitals,Northeast ,RRC,4,1,4,Rural,Micro,23011,,186,,287,287,170,Yes,(207) 626-1000
MAJOR HOSPITAL,150097,,,N,IN,2451 INTELLIPLEX DR,SHELBYVILLE,46176,SHELBY,,,Government - Local,Acute Care Hospitals,Midwest ,PPS,3,1,2,Rural,Metro,18145,,18,,51,51,45,Yes,(317) 392-3211
MALVERN BEHAVIORAL HEALTH,394057,Progressions Behavioral Health,,N,PA,1930 SOUTH BROAD STREET,PHILADELPHIA,19145,,,,,Psychiatric,Northeast ,,Not Available,,1,Urban,Metro,42101,,,,22,22,,,(610) 647-0330
MAMMOTH HOSPITAL,051303,,,N,CA,85 SIERRA PARK ROAD PO BOX 660,MAMMOTH LAKES,93546,MONO,,,Government - Hospital District or Authority,Critical Access Hospitals,West ,CAH,Not Available,1,7,Rural,Neither,6051,,17,,17,17,,Yes,(760) 934-3311
MANATEE MEMORIAL HOSPITAL,100035,Universal Health Services,,N,FL,206 2ND ST E,BRADENTON,34208,MANATEE,,,Proprietary,Acute Care Hospitals,South ,PPS,1,,1,Urban,Metro,12081,,295,,319,319,295,Yes,(941) 746-5111
MANCHESTER MEMORIAL HOSPITAL,070027,Prospect Medical Holdings,formerly Leonard Green & Partners,N,CT,71 HAYNES ST,MANCHESTER,6040,HARTFORD,,,Proprietary,Acute Care Hospitals,Northeast ,PPS,4,,1,Urban,Metro,9003,MPT,140,,249,249,135,Yes,(860) 647-4780
MANGUM REGIONAL MEDICAL CENTER,371330,Cohesive Healthcare Management and Consulting,,N,OK,1 WICKERSHAM DRIVE,MANGUM,73554,GREER,,,Proprietary,Critical Access Hospitals,South ,CAH,Not Available,1,7,Rural,Neither,40055,,18,,18,18,,Yes,(580) 782-3353
MANHATTAN PSYCHIATRIC CENTER,334054,,,N,NY,WARD'S ISLAND,NEW YORK,10035,NEW YORK,,,Government - State,Psychiatric,Northeast ,,Not Available,,1,Urban,Metro,36061,,,209,509,509,,No,(212) 369-0500
MANHATTAN SURGICAL HOSPITAL LLC,170190,,,N,KS,1829 COLLEGE AVENUE,MANHATTAN,66502,RILEY,,,Physician,Acute Care Hospitals,Midwest ,PPS,Not Available,,1,Urban,Metro,20161,,13,,13,13,13,No,(785) 776-5100
MANIILAQ HEALTH CENTER,021310,,,N,AK,PO BOX 43,KOTZEBUE,99752,NORTHWEST ARTIC BOROUGH,,,Tribal,Critical Access Hospitals,West ,CAH,Not Available,1,7,Rural,Neither,2188,,17,,17,17,,Yes,(907) 442-3321
MANNING REGIONAL HEALTHCARE CENTER,161332,,,N,IA,1550 SIXTH STREET,MANNING,51455,CARROLL,,,Voluntary non-profit - Private,Critical Access Hospitals,Midwest ,CAH,Not Available,1,10,Rural,Micro,19027,,17,,17,17,,Yes,(712) 655-2072
MAPLE GROVE HOSPITAL,240214,,,N,MN,9875 HOSPITAL DRIVE,MAPLE GROVE,55369,HENNEPIN,,,Voluntary non-profit - Private,Acute Care Hospitals,Midwest ,PPS,5,,1,Urban,Metro,27053,,134,,90,90,125,Yes,(763) 581-1000
MARCUM & WALLACE MEMORIAL HOSPITAL,181301,,,N,KY,60 MERCY COURT,IRVINE,40336,ESTILL,,,Voluntary non-profit - Private,Critical Access Hospitals,South ,CAH,4,1,6,Rural,Micro,21065,,25,,25,25,,Yes,(606) 723-2115
MARGARET MARY HEALTH,151329,,,N,IN,321 MITCHELL AVE,BATESVILLE,47006,FRANKLIN,,,Voluntary non-profit - Private,Critical Access Hospitals,Midwest ,CAH,4,1,7,Rural,Neither,18137,,25,,25,25,,Yes,(812) 934-6624
MARGARET R PARDEE MEMORIAL HOSPITAL,340017,,,N,NC,800 N JUSTICE ST,HENDERSONVILLE,28791,HENDERSON,,,Government - Local,Acute Care Hospitals,South ,PPS,4,,1,Urban,Metro,37089,,160,,222,222,153,Yes,(828) 696-1000
MARGARETVILLE MEMORIAL HOSPITAL,331304,,,N,NY,42084 STATE HIGHWAY 28,MARGARETVILLE,12455,DELAWARE,,,Voluntary non-profit - Private,Critical Access Hospitals,Northeast ,CAH,Not Available,1,10,Rural,Neither,36025,,15,,15,22,,Yes,(845) 586-2631
MARIAN CENTER,464012,Ensign Group,,N,UT,451 EAST BISHOP FEDERAL LANE,SALT LAKE CITY,84115,SALT LAKE,,,Proprietary,Psychiatric,West ,,Not Available,,1,Urban,Metro,49035,,,12,14,14,,No,(801) 468-6856
MARIAN REGIONAL MEDICAL CENTER,050107,,,N,CA,1400 E CHURCH ST,SANTA MARIA,93454,SANTA BARBARA,,,Voluntary non-profit - Church,Acute Care Hospitals,West ,PPS,3,,1,Urban,Metro,6083,,273,,132,227,265,No,(805) 739-3100
"MARIAN REGIONAL MEDICAL CENTER, ARROYO GRANDE",050016,CommonSpirit Health,,N,CA,345 S HALCYON RD,ARROYO GRANDE,93420,,,,,,West ,PPS,,,1,Urban,Metro,6079,,53,,53,67,52,,(805) 489-4261
MARIANJOY REHABILITATION HOSPITAL,143027,,,N,IL,26W171 ROOSEVELT ROAD,WHEATON,60187,,,,,Rehabilitation hospital,Midwest ,,,,1,Urban,Metro,17043,,,125,113,113,,,(630) 909-8000
MARIAS MEDICAL CENTER,271328,,,N,MT,640 PARK AVE,SHELBY,59474,TOOLE,,,Government - Local,Critical Access Hospitals,West ,CAH,Not Available,1,7,Rural,Neither,30101,,21,,21,21,,Yes,(406) 434-3200
MARIETTA MEMORIAL HOSPITAL,360147,,,N,OH,401 MATTHEW STREET,MARIETTA,45750,WASHINGTON,,,Voluntary non-profit - Other,Acute Care Hospitals,Midwest ,RRC,3,1,4,Rural,Micro,39167,,188,,204,204,164,Yes,(740) 374-1598
MARINERS HOSPITAL,101313,,,N,FL,91500 OVERSEAS HIGHWAY,TAVERNIER,33070,MONROE,,,Voluntary non-profit - Private,Critical Access Hospitals,South ,CAH,Not Available,1,4,Rural,Micro,12087,,25,,25,25,,Yes,(305) 434-3000
MARINHEALTH MEDICAL CENTER,050360,,,N,CA,"250 BON AIR ROAD, PO BOX 8010",GREENBRAE,94904,MARIN,,,Government - Local,Acute Care Hospitals,West ,PPS,4,,1,Urban,Metro,6041,,310,,235,325,216,Yes,(415) 925-7900
MARION GENERAL HOSPITAL,150011,,,N,IN,441 N WABASH AVE,MARION,46952,GRANT,,,Voluntary non-profit - Private,Acute Care Hospitals,Midwest ,SCH/RRC,5,1,4,Rural,Micro,18053,,110,,99,99,97,Yes,(765) 660-6000
MARION GENERAL HOSPITAL,250085,,,N,MS,1560 SUMRALL RD,COLUMBIA,39429,MARION,,,Voluntary non-profit - Other,Acute Care Hospitals,South ,MDH,2,1,7,Rural,Neither,28091,,49,,79,79,37,Yes,(601) 736-6303
MARION GENERAL HOSPITAL,360011,,,N,OH,1000 MCKINLEY PARK DRIVE,MARION,43302,MARION,,,Voluntary non-profit - Private,Acute Care Hospitals,Midwest ,RRC,2,1,4,Rural,Micro,39101,,182,,389,389,148,Yes,(740) 383-8400
MARION REGIONAL MEDICAL CENTER,010044,,,N,AL,1256 MILITARY STREET SOUTH,HAMILTON,35570,MARION,,,Voluntary non-profit - Private,Acute Care Hospitals,South ,MDH,Not Available,1,7,Rural,Neither,1093,,36,,57,57,30,Yes,(205) 921-6200
MARK TWAIN MEDICAL CENTER,051332,,,N,CA,768 MOUNTAIN RANCH RD,SAN ANDREAS,95249,CALAVERAS,,,Voluntary non-profit - Other,Critical Access Hospitals,West ,CAH,2,1,10,Rural,Neither,6009,,25,,25,25,,No,(209) 754-2515
MARLBOROUGH HOSPITAL,220049,,,N,MA,157 UNION STREET,MARLBOROUGH,1752,MIDDLESEX,,,Voluntary non-profit - Private,Acute Care Hospitals,Northeast ,PPS,3,,1,Urban,Metro,25017,,67,,79,79,62,Yes,(508) 481-5000
MARLETTE REGIONAL HOSPITAL,231330,,,N,MI,2770 MAIN STREET,MARLETTE,48453,SANILAC,,,Voluntary non-profit - Private,Critical Access Hospitals,Midwest ,CAH,Not Available,1,10,Rural,Neither,26151,,25,,25,25,,Yes,(989) 635-4000
MARSHALL BROWNING HOSPITAL,141331,,,N,IL,900 NORTH WASHINGTON STREET,DU QUOIN,62832,PERRY,,,Voluntary non-profit - Private,Critical Access Hospitals,Midwest ,CAH,Not Available,1,7,Rural,Neither,17145,,25,,25,25,,Yes,(618) 542-2146
MARSHALL COUNTY HEALTHCARE CENTER - CAH,431312,Avera Health ,,N,SD,413 9TH STREET,BRITTON,57430,MARSHALL,,,Non-profit,Critical Access Hospitals,Midwest ,CAH,Not Available,1,10,Rural,Neither,46091,,20,,20,20,,Yes,(605) 448-2253
MARSHALL COUNTY HOSPITAL,181327,,,N,KY,615 OLD SYMSONIA ROAD,BENTON,42025,MARSHALL,,,Government - Hospital District or Authority,Critical Access Hospitals,South ,CAH,3,1,7,Rural,Neither,21157,,25,,25,25,,Yes,(270) 527-4800
MARSHALL MEDICAL CENTER,441309,,,N,TN,1080 NORTH ELLINGTON PARKWAY,LEWISBURG,37091,MARSHALL,,,Government - Hospital District or Authority,Critical Access Hospitals,South ,CAH,Not Available,1,4,Rural,Micro,47117,,25,,25,25,,Yes,(931) 359-6276
MARSHALL MEDICAL CENTER,050254,,,N,CA,1100 MARSHALL WAY,PLACERVILLE,95667,EL DORADO,,,Voluntary non-profit - Private,Acute Care Hospitals,West ,PPS,4,1,4,Rural,Metro,6017,,111,,93,120,107,Yes,(530) 622-1441
MARSHALL MEDICAL CENTERS SOUTH CAMPUS,010005,,,N,AL,2505 U S HIGHWAY 431 NORTH,BOAZ,35957,MARSHALL,,,Government - Hospital District or Authority,Acute Care Hospitals,South ,RRC,3,1,4,Rural,Micro,1095,,195,,240,240,199,Yes,(256) 593-8310
